YearWeekISO,FirstDose,FirstDoseRefused,SecondDose,UnknownDose,NumberDosesReceived,Region,Population,ReportingCountry,TargetGroup,Vaccine,Denominator
2020-W53,0,0,0,0,0,AT,8901064,AT,1_Age60+,JANSS,2259262
2020-W53,0,0,0,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2020-W53,0,0,0,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2020-W53,2663,0,0,0,61425,AT,8901064,AT,1_Age60+,COM,2259262
2020-W53,0,0,0,0,0,AT,8901064,AT,1_Age<60,JANSS,5099181
2020-W53,0,0,0,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2020-W53,2372,0,0,0,61425,AT,8901064,AT,1_Age<60,COM,5099181
2020-W53,0,0,0,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2020-W53,5035,0,0,0,61425,AT,8901064,AT,ALL,COM,7358443
2020-W53,0,0,0,0,0,AT,8901064,AT,ALL,JANSS,7358443
2020-W53,0,0,0,0,0,AT,8901064,AT,ALL,MOD,7358443
2020-W53,0,0,0,0,0,AT,8901064,AT,ALL,AZ,7358443
2020-W53,110,0,0,0,61425,AT,8901064,AT,Age18_24,COM,696064
2020-W53,0,0,0,0,0,AT,8901064,AT,Age18_24,MOD,696064
2020-W53,0,0,0,0,0,AT,8901064,AT,Age18_24,JANSS,696064
2020-W53,0,0,0,0,0,AT,8901064,AT,Age18_24,AZ,696064
2020-W53,0,0,0,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2020-W53,0,0,0,0,0,AT,8901064,AT,Age25_49,JANSS,3006228
2020-W53,0,0,0,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2020-W53,1278,0,0,0,61425,AT,8901064,AT,Age25_49,COM,3006228
2020-W53,978,0,0,0,61425,AT,8901064,AT,Age50_59,COM,1396889
2020-W53,0,0,0,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2020-W53,0,0,0,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2020-W53,0,0,0,0,0,AT,8901064,AT,Age50_59,JANSS,1396889
2020-W53,0,0,0,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2020-W53,0,0,0,0,0,AT,8901064,AT,Age60_69,JANSS,1016016
2020-W53,0,0,0,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2020-W53,515,0,0,0,61425,AT,8901064,AT,Age60_69,COM,1016016
2020-W53,595,0,0,0,61425,AT,8901064,AT,Age70_79,COM,769199
2020-W53,0,0,0,0,0,AT,8901064,AT,Age70_79,JANSS,769199
2020-W53,0,0,0,0,0,AT,8901064,AT,Age70_79,AZ,769199
2020-W53,0,0,0,0,0,AT,8901064,AT,Age70_79,MOD,769199
2020-W53,0,0,0,0,0,AT,8901064,AT,Age80+,JANSS,474047
2020-W53,0,0,0,0,0,AT,8901064,AT,Age80+,AZ,474047
2020-W53,1553,0,0,0,61425,AT,8901064,AT,Age80+,COM,474047
2020-W53,0,0,0,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W01,0,0,0,0,0,AT,8901064,AT,1_Age60+,JANSS,2259262
2021-W01,0,0,0,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W01,0,0,0,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W01,7581,0,0,0,61425,AT,8901064,AT,1_Age60+,COM,2259262
2021-W01,0,0,0,0,0,AT,8901064,AT,1_Age<60,JANSS,5099181
2021-W01,0,0,0,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W01,18016,0,0,0,61425,AT,8901064,AT,1_Age<60,COM,5099181
2021-W01,0,0,0,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W01,0,0,0,0,0,AT,8901064,AT,ALL,AZ,7358443
2021-W01,0,0,0,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W01,25597,0,0,0,61425,AT,8901064,AT,ALL,COM,7358443
2021-W01,0,0,0,0,0,AT,8901064,AT,ALL,JANSS,7358443
2021-W01,0,0,0,0,0,AT,8901064,AT,Age18_24,AZ,696064
2021-W01,0,0,0,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W01,0,0,0,0,0,AT,8901064,AT,Age18_24,JANSS,696064
2021-W01,969,0,0,0,61425,AT,8901064,AT,Age18_24,COM,696064
2021-W01,0,0,0,0,0,AT,8901064,AT,Age25_49,JANSS,3006228
2021-W01,10512,0,0,0,61425,AT,8901064,AT,Age25_49,COM,3006228
2021-W01,0,0,0,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2021-W01,0,0,0,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2021-W01,0,0,0,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W01,0,0,0,0,0,AT,8901064,AT,Age50_59,JANSS,1396889
2021-W01,6487,0,0,0,61425,AT,8901064,AT,Age50_59,COM,1396889
2021-W01,0,0,0,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2021-W01,0,0,0,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2021-W01,2167,0,0,0,61425,AT,8901064,AT,Age60_69,COM,1016016
2021-W01,0,0,0,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W01,0,0,0,0,0,AT,8901064,AT,Age60_69,JANSS,1016016
2021-W01,1583,0,0,0,61425,AT,8901064,AT,Age70_79,COM,769199
2021-W01,0,0,0,0,0,AT,8901064,AT,Age70_79,JANSS,769199
2021-W01,0,0,0,0,0,AT,8901064,AT,Age70_79,MOD,769199
